Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      6.82     0.00   100054     0.00     0.00  std::_Vector_base<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >::_M_create_storage(unsigned long)
  0.00      6.82     0.00   100054     0.00     0.00  std::_Vector_base<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >::_Vector_base(unsigned long, std::allocator<std::array<double, 3ul> > const&)
  0.00      6.82     0.00   100054     0.00     0.00  std::array<double, 3ul>* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<std::array<double, 3ul> const*, std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > >, std::array<double, 3ul>*>(__gnu_cxx::__normal_iterator<std::array<double, 3ul> const*, std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > >, __gnu_cxx::__normal_iterator<std::array<double, 3ul> const*, std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > >, std::array<double, 3ul>*)
  0.00      6.82     0.00   100054     0.00     0.00  std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >::vector(std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > const&)
  0.00      6.82     0.00   100054     0.00     0.00  std::array<double, 3ul>* std::__niter_wrap<std::array<double, 3ul>*>(std::array<double, 3ul>* const&, std::array<double, 3ul>*)
  0.00      6.82     0.00   100054     0.00     0.00  std::array<double, 3ul>* std::__copy_move_a<false, __gnu_cxx::__normal_iterator<std::array<double, 3ul> const*, std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > >, std::array<double, 3ul>*>(__gnu_cxx::__normal_iterator<std::array<double, 3ul> const*, std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > >, __gnu_cxx::__normal_iterator<std::array<double, 3ul> const*, std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > >, std::array<double, 3ul>*)
  0.00      6.82     0.00   100054     0.00     0.00  std::array<double, 3ul>* std::__copy_move_a1<false, std::array<double, 3ul> const*, std::array<double, 3ul>*>(std::array<double, 3ul> const*, std::array<double, 3ul> const*, std::array<double, 3ul>*)
  0.00      6.82     0.00   100054     0.00     0.00  std::array<double, 3ul>* std::__copy_move_a2<false, std::array<double, 3ul> const*, std::array<double, 3ul>*>(std::array<double, 3ul> const*, std::array<double, 3ul> const*, std::array<double, 3ul>*)
  0.00      6.82     0.00   100054     0.00     0.00  std::array<double, 3ul>* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<std::array<double, 3ul> const*, std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > >, std::array<double, 3ul>*, std::array<double, 3ul> >(__gnu_cxx::__normal_iterator<std::array<double, 3ul> const*, std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > >, __gnu_cxx::__normal_iterator<std::array<double, 3ul> const*, std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > >, std::array<double, 3ul>*, std::allocator<std::array<double, 3ul> >&)
  0.00      6.82     0.00   100054     0.00     0.00  std::array<double, 3ul>* std::copy<__gnu_cxx::__normal_iterator<std::array<double, 3ul> const*, std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > >, std::array<double, 3ul>*>(__gnu_cxx::__normal_iterator<std::array<double, 3ul> const*, std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > >, __gnu_cxx::__normal_iterator<std::array<double, 3ul> const*, std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > >, std::array<double, 3ul>*)
